Height,Bounce Number,Total Time,Interval Time,Total Time (ms),Interval Time (ms)
180,1,00:00.14,00:00.14,140,140
180,2,00:00.71,00:00.57,710,570
180,3,00:01.49,00:00.78,1490,780
180,4,00:02.18,00:00.69,2180,690
180,5,00:03.04,00:00.86,3040,860
180,6,00:03.36,00:00.32,3360,320
180,7,00:03.60,00:00.24,3600,240
160,1,00:00.21,00:00.21,210,210
160,2,00:01.14,00:00.93,1140,930
160,3,00:01.73,00:00.59,1730,590
160,4,00:02.19,00:00.46,2190,460
160,5,00:02.68,00:00.49,2680,490
160,6,00:03.01,00:00.33,3010,330
160,7,00:03.31,00:00.30,3310,300
160,8,00:03.51,00:00.20,3510,200
140,1,00:00.27,00:00.27,270,270
140,2,00:01.09,00:00.82,1090,820
140,3,00:01.61,00:00.52,1610,520
140,4,00:02.04,00:00.43,2040,430
140,5,00:02.44,00:00.40,2440,400
140,6,00:02.78,00:00.34,2780,340
140,7,00:03.05,00:00.27,3050,270
140,8,00:03.31,00:00.26,3310,260
140,9,00:03.44,00:00.13,3440,130
140,10,00:03.63,00:00.19,3630,190
120,1,00:00.28,00:00.28,280,280
120,2,00:01.02,00:00.74,1020,740
120,3,00:01.50,00:00.48,1500,480
120,4,00:01.90,00:00.40,1900,400
120,5,00:02.28,00:00.38,2280,380
120,6,00:02.62,00:00.34,2620,340
120,7,00:02.89,00:00.27,2890,270
120,8,00:03.10,00:00.21,3100,210
100,1,00:00.28,00:00.28,280,280
100,2,00:00.83,00:00.55,830,550
100,3,00:01.65,00:00.82,1650,820
100,4,00:01.97,00:00.32,1970,320
100,5,00:02.33,00:00.36,2330,360
100,6,00:02.53,00:00.20,2530,200
100,7,00:02.77,00:00.24,2770,240
100,8,00:02.92,00:00.15,2920,150
80,1,00:00.35,00:00.35,350,350
80,2,00:00.95,00:00.60,950,600
80,3,00:01.26,00:00.31,1260,310
80,4,00:01.59,00:00.33,1590,330
80,5,00:01.91,00:00.32,1910,320
80,6,00:02.22,00:00.31,2220,310
80,7,00:02.48,00:00.26,2480,260
60,1,00:00.66,00:00.66,660,660
60,2,00:01.25,00:00.59,1250,590
60,3,00:01.54,00:00.29,1540,290
60,4,00:01.78,00:00.24,1780,240
60,5,00:02.01,00:00.23,2009,230
60,6,00:02.25,00:00.24,2250,240
40,1,00:00.28,00:00.28,280,280
40,2,00:00.68,00:00.40,680,400
40,3,00:00.97,00:00.29,970,290
40,4,00:01.23,00:00.26,1230,260
40,5,00:01.42,00:00.19,1420,190
40,6,00:01.61,00:00.19,1610,190
20,1,00:00.28,00:00.28,280,280
20,2,00:00.68,00:00.40,680,400
20,3,00:00.97,00:00.29,970,290
